"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\ReactProjects\EcoFarm_FE\src\config\schema\address.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\address\useCreateAddress.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\address\useDeleteAddress.tsx", "TypeScript JSX", 30, 0, 1, 1, 32
"d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchAddresses.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\pages\products\[productId]\index.tsx", "TypeScript JSX", 0, 0, 1, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\addresses.tsx", "TypeScript JSX", 177, 0, 1, 5, 183
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\index.tsx", "TypeScript JSX", 8, 0, 0, 0, 8
"Total", "-", 217, 1, 3, 7, 228
